date,agent,dau,category,color
2024-09,Midjourney,1636682,多模态,#9B59B6
2024-09,Stable Diffusion,1140979,多模态,#8E44AD
2024-10,ChatGPT,22507473,通用助手,#10A37F
2024-10,Claude,15629469,通用助手,#CC785C
2024-10,Copilot,4106500,编程助手,#0078D4
2024-10,Gemini,37182937,通用助手,#4285F4
2024-10,Cursor,92498761,编程助手,#7B61FF
2024-10,Perplexity,67978766,搜索/研究,#D4AF37
2024-10,文心一言,1682680,通用助手,#E74C3C
2024-10,通义千问,3155521,通用助手,#FF6B35
2024-10,Kimi,264660199,通用助手,#00C4B4
2024-10,Notion AI,1818831,效率工具,#1A1A1A
2024-10,Midjourney,1652456,多模态,#9B59B6
2024-10,Stable Diffusion,1203033,多模态,#8E44AD
2024-11,ChatGPT,23435619,通用助手,#10A37F
2024-11,Claude,18118035,通用助手,#CC785C
2024-11,Copilot,4395612,编程助手,#0078D4
2024-11,Gemini,43239590,通用助手,#4285F4
2024-11,Cursor,127151997,编程助手,#7B61FF
2024-11,Perplexity,93080814,搜索/研究,#D4AF37
2024-11,文心一言,1785084,通用助手,#E74C3C
2024-11,通义千问,3610348,通用助手,#FF6B35
2024-11,Kimi,358562846,通用助手,#00C4B4
2024-11,Notion AI,1942328,效率工具,#1A1A1A
2024-11,Midjourney,1944968,多模态,#9B59B6
2024-11,Stable Diffusion,1271505,多模态,#8E44AD
